,Name,Team,Level,Age,ERA,GS,IP,H,R,ER,HR,BB,HBP,SO,K%,BB%,K-BB%,WHIP,BABIP,LOB%,FIP,xFIP,GB%,SwStr%,Balls,Strikes,PlayerId,EDB Team,TWTC Team,BL Team
41,Keider Montero,DET,AAA,23,5.02758673596472,13,48.1,52,28,27,5,30,2,54,0.24107143,0.13392857,0.10714286,1.69655190267122,0.35338346,0.72727273,4.60180248421524,5.11810633936465,0.377777777,0.1091314,351,547,22630,,Wander if she's Legal,
42,Jack O'Loughlin,OAK,AAA,24,6.46706527736775,9,55.2,74,40,40,13,24,0,57,0.22178988,0.09338521,0.12840467,1.76047888106122,0.37423313,0.72681704,6.16093320559318,5.24875918400812,0.358381502,0.105,388,612,22690,,,
43,Yoendrys Gomez,NYY,AAA,24,3.98360655737704,17,61.0,43,28,27,8,35,6,64,0.24806202,0.13565891,0.1124031,1.27868852459016,0.24137931,0.76923077,5.12820146435596,5.28918854691943,0.36,0.12476008,397,645,22872,,,
44,Francisco Morales,ARI,"AA,AAA,CPX",24,9.19780026995475,0,30.1,30,35,31,4,29,10,45,0.29032258,0.18709677,0.10322581,1.94505453737394,0.3880597,0.5362776,6.50945933519038,5.89611864528959,0.44117647,0.16556291,269,335,22913,,,
45,Carlos Vargas,SEA,AAA,24,2.85365853658536,0,41.0,42,19,13,4,17,3,28,0.15642458,0.09497207,0.06145251,1.4390243902439,0.2992126,0.76241135,5.24534994683614,5.23857579609242,0.576,0.09646302,220,402,22915,,,
46,Joan Adon,WSN,AAA,25,5.37378720385908,13,68.2,71,48,41,9,42,11,57,0.17538462,0.12923077,0.04615385,1.64563131175088,0.30097087,0.68222621,5.86447429515855,6.40633887849883,0.38095238,0.11024845,511,777,22925,,,
47,Prelander Berroa,CHW,AAA,24,6.8538469583185,0,43.1,48,38,33,7,32,1,48,0.23414634,0.15609756,0.07804878,1.84615406284673,0.35042735,0.60393258,5.67448166852875,5.52326443750653,0.330508474,0.1576414,346,485,22932,,,
48,Eduardo Salazar,LAD,AAA,26,4.40816311516498,7,49.0,59,27,24,3,18,5,39,0.1797235,0.08294931,0.09677419,1.57142851790603,0.36842105,0.70694087,4.40008917417258,4.99621788005658,0.53548387,0.09125,308,492,23135,,,
49,Steven Cruz,KCR,AAA,25,3.42537274427581,0,44.2,39,18,17,4,21,3,52,0.26943005,0.10880829,0.16062176,1.34328342912777,0.30973451,0.78397213,3.95301178772642,4.14513995453419,0.455357142,0.1200495,311,497,23165,,,
50,Michael Mercado,PHI,AAA,25,2.10179621514452,10,55.2,38,16,13,4,31,3,50,0.21645022,0.13419913,0.08225108,1.23952084482881,0.23776224,0.84337349,4.475310436289,5.55287444857719,0.395833333,0.12299465,382,553,23223,,,
51,Jose Butto,NYM,AAA,26,3.04511313131382,8,44.1,36,16,15,4,18,2,38,0.20540541,0.0972973,0.10810811,1.21804525252553,0.2601626,0.79365079,4.31728081303419,5.04917384643498,0.436507936,0.11878453,295,429,23313,Houston Buffalos,Hoerner for Nico,Satchel’s Pages
52,Joey Cantillo,CLE,"AAA,CPX",24,4.15384715848444,9,34.2,31,17,16,3,23,1,47,0.30128205,0.1474359,0.15384615,1.55769268443166,0.34146341,0.7480315,4.04147078971382,4.42650159576869,0.44047619,0.15082956,263,400,23335,Moonstars,,
53,Max Lazar,PHI,"AA,AAA",25,1.78512410763859,0,40.1,25,12,8,1,9,2,53,0.33757962,0.05732484,0.28025478,0.842975273051559,0.26086957,0.69364162,1.99867849999948,2.76521125861434,0.466666666,0.11197512,213,430,23426,,,
54,Tommy Romero,SFG,AAA,26,3.10994739552863,8,63.2,49,25,22,8,36,2,60,0.22304833,0.133829,0.08921933,1.3350784273734,0.25153374,0.81794195,5.41876318103595,5.8162340846034,0.391566265,0.11545455,442,658,23465,,,
55,Aaron Ashby,MIL,AAA,26,8.40249015855529,14,80.1,94,77,75,5,72,7,85,0.20935961,0.1773399,0.0320197,2.06639017232619,0.37552743,0.57831325,5.1484042756902,5.34478147918255,0.552301255,0.0980025,684,918,23550,,,
56,Brett de Geus,SEA,AAA,26,6.38709677419354,0,31.0,41,24,22,3,12,1,23,0.15972222,0.08333333,0.07638889,1.70967741935483,0.36190476,0.60240964,4.89968191269905,5.19090167687785,0.570093457,0.06617647,196,348,23592,,,
57,Valente Bellozo,MIA,"AA,AAA",24,4.63636350237634,13,66.0,64,36,34,10,24,3,72,0.25,0.08333333,0.16666667,1.33333329480103,0.30167598,0.71428571,4.44274207130042,4.21309310809537,0.35828877,0.13207547,393,720,23899,,,
58,Ronny Henriquez,MIN,AAA,24,3.43636363636363,3,55.0,59,27,21,9,17,1,59,0.24894515,0.07172996,0.17721519,1.38181818181818,0.33112583,0.77639752,4.4688870083202,3.74350545568899,0.538461538,0.13751375,329,580,24094,,,
59,Kai-Wei Teng,SFG,"AAA,CPX",25,9.64285554547504,8,51.1,65,58,55,12,30,6,39,0.15853659,0.12195122,0.03658537,1.85064904408106,0.33333333,0.51068884,7.56126362070237,6.62950652563021,0.423529411,0.1025641,348,549,24282,,,
60,Adam Kloffenstein,STL,AAA,23,4.73507489646085,17,89.1,78,47,47,13,41,9,73,0.19414894,0.10904255,0.08510638,1.33208962808236,0.27083333,0.73770492,5.44181791912291,5.13238536541953,0.489878542,0.11461908,552,905,24493,,,
61,Lyon Richardson,CIN,AAA,24,4.5778549129845,19,96.1,87,58,49,8,58,6,90,0.20833333,0.13425926,0.07407407,1.50519039089059,0.29259259,0.66523605,4.70940295739631,5.09719564336969,0.47761194,0.10473373,690,1000,24581,,,
62,Colin Selby,PIT,AAA,26,5.51612903225806,0,31.0,27,21,19,4,16,2,39,0.2826087,0.11594203,0.16666667,1.38709677419354,0.2987013,0.60913706,4.40847645113545,4.15232925491948,0.46835443,0.13761468,228,317,24986,,,
63,Jacob Lopez,TBR,AAA,26,3.91500059738168,14,66.2,52,32,29,10,32,4,80,0.28169014,0.11267606,0.16901408,1.26000019226077,0.26582278,0.75675676,4.67525082321169,4.43255396672466,0.418181818,0.13737201,458,714,25098,,,
64,Roddery Munoz,MIA,AAA,24,5.48780487804878,7,41.0,35,27,25,7,18,4,31,0.17318436,0.10055866,0.0726257,1.29268292682926,0.23529412,0.63559322,5.82232381541554,5.84160414657941,0.344262295,0.0922619,264,408,25311,,,
65,Joe La Sorsa,WSN,AAA,26,2.25,0,56.0,45,17,14,7,11,3,41,0.18222222,0.04888889,0.13333333,1.0,0.23312883,0.85365854,4.41596493039812,4.4300808871431,0.509090909,0.09090909,252,529,25481,,,
66,Brady Basso,OAK,"AA,AAA",26,4.69067845893164,15,78.2,80,46,41,13,22,3,95,0.27941176,0.06470588,0.21470588,1.29661030572094,0.3236715,0.6797235,4.42418452345186,3.67910566263434,0.386046511,0.12712551,419,816,25582,,,
67,Sammy Peralta,CHW,AAA,26,4.00990061147136,0,33.2,21,15,15,3,18,5,32,0.23021583,0.1294964,0.10071943,1.15841573220283,0.22222222,0.72864322,4.95298652804816,5.10699604454609,0.402439024,0.10404624,187,332,25589,,,
68,Xzavion Curry,CLE,AAA,25,6.58125062763697,11,53.1,57,40,39,15,21,2,47,0.19831224,0.08860759,0.10970464,1.46250013947488,0.27631579,0.6779661,6.69275094866755,5.41157984780903,0.308641975,0.10674157,316,574,25595,,,
69,Levi Stoudt,BAL,"AA,AAA",26,5.83098591549295,11,71.0,75,51,46,16,37,3,58,0.18068536,0.1152648,0.06542056,1.57746478873239,0.28502415,0.69114471,6.74544822598846,6.0762564818624,0.389140271,0.09357201,484,745,25650,,,
70,Peyton Battenfield,COL,AAA,26,7.72826086956521,18,92.0,111,82,79,23,37,2,69,0.16586538,0.08894231,0.07692308,1.60869565217391,0.30877193,0.57724958,6.90123541873434,6.14097152805846,0.312292358,0.09823848,563,913,25777,,,
71,Zack Thompson,STL,AAA,26,3.92727272727272,13,55.0,36,26,24,7,41,2,63,0.26033058,0.16942149,0.09090909,1.4,0.2248062,0.76589595,5.21434155377474,5.2954708868807,0.462686567,0.11049211,441,636,25918,,,
72,Darius Vines,ATL,"AA,AAA",26,4.74045818781882,16,87.1,93,47,46,14,28,3,65,0.17379679,0.07486631,0.09893048,1.38549623363786,0.29924242,0.73754789,5.14620094971009,5.46836314974192,0.377289377,0.13593637,495,888,25928,,,
73,Quinn Priester,PIT,AAA,23,5.17499975323678,9,40.0,39,23,23,3,12,1,44,0.26190476,0.07142857,0.19047619,1.27499993920326,0.33333333,0.60669456,3.25525065660476,3.28994608430526,0.563636363,0.13636364,242,418,25977,,,
74,Anthony Maldonado,MIA,AAA,26,5.03389895602713,0,39.1,37,23,22,7,20,2,44,0.25730994,0.11695906,0.14035088,1.44915272976538,0.30612245,0.73170732,5.25948815966299,4.99954662643235,0.323809523,0.16155989,281,437,26034,,,
75,Amos Willingham,WSN,AAA,25,4.55844201010587,0,51.1,51,29,26,5,23,3,50,0.22321429,0.10267857,0.12053571,1.44155858439245,0.32167832,0.68571429,4.34291306534431,4.82904331557972,0.409722222,0.12638581,330,572,26128,,,
76,Connor Gillispie,CLE,AAA,26,4.12363682124875,11,91.2,81,50,42,20,40,5,90,0.22959184,0.10204082,0.12755102,1.32000014648439,0.25738397,0.7755102,5.85070545042056,5.39755676066024,0.317269076,0.11492734,582,932,26171,,,
77,Jackson Rutledge,WSN,AAA,25,6.65493029257871,21,94.2,105,72,70,13,58,6,94,0.21363636,0.13181818,0.08181818,1.72183117093703,0.34200743,0.64323607,5.33271562978878,5.33160127948949,0.419354838,0.10550725,692,1033,26215,,,
78,Orlando Ribalta,WSN,"AA,AAA",26,2.58088253392069,0,45.1,31,14,13,4,22,0,67,0.36216216,0.11891892,0.24324324,1.16911772904099,0.29347826,0.82278481,3.12291151549261,3.7918720338754,0.27368421,0.19322459,292,505,26247,,,
79,Blake Walston,ARI,AAA,23,4.11864460038584,8,39.1,41,19,18,5,20,3,40,0.22857143,0.11428571,0.11428571,1.55084765816997,0.3364486,0.78947368,5.2523778217615,5.2435513318333,0.427272727,0.13207547,263,426,26270,,,
80,Tommy Henry,ARI,AAA,26,4.74324324324324,14,74.0,74,41,39,6,41,1,86,0.26380368,0.12576687,0.13803681,1.55405405405405,0.35416667,0.69702602,4.31192872073199,4.83051094497377,0.392857142,0.11620553,485,780,26285,,,
81,DJ Herz,WSN,AAA,23,3.88983101147551,10,39.1,24,21,17,3,32,0,44,0.26190476,0.19047619,0.07142857,1.42372899766424,0.23595506,0.67567568,4.70016605343775,5.71558545110372,0.329670329,0.11570248,303,423,26389,Lakeland Flying Tigers,Hoerner for Nico,Moneyball
82,Bradley Blalock,COL,AA,23,4.36153830155819,18,86.2,85,43,42,12,29,1,76,0.20708447,0.07901907,0.1280654,1.31538456713659,0.29317269,0.73319756,4.43833795943162,3.95902742945218,0.428015564,0.11830986,502,918,26419,,,
83,Anthony Veneziano,KCR,AAA,26,4.5,13,84.0,81,47,42,11,38,3,70,0.19283747,0.1046832,0.08815427,1.41666666666666,0.29045643,0.70356473,5.00525064468383,5.09496980501072,0.400809716,0.10222531,536,902,27453,,,
84,Reid Detmers,LAA,AAA,24,7.10526315789473,11,57.0,71,47,45,17,20,2,72,0.27272727,0.07575758,0.1969697,1.59649122807017,0.35294118,0.66473988,6.38826821812412,4.55274338643801,0.377245508,0.14414414,354,645,27468,jstocs5,Wander if she's Legal,Mr.Baseball
85,Emerson Hancock,SEA,AAA,25,3.78260869565217,13,69.0,63,29,29,6,30,3,47,0.15878378,0.10135135,0.05743243,1.34782608695652,0.27142857,0.76484018,5.08239483902419,5.90626904545486,0.432558139,0.09322034,414,648,27470,Moonstars,,The 2002 Oakland A's
86,Max Meyer,MIA,AAA,25,4.34482758620689,15,58.0,62,32,28,9,24,1,69,0.27058824,0.09411765,0.17647059,1.48275862068965,0.34868421,0.73924731,4.43628512744245,3.68511952161788,0.46835443,0.12187812,360,641,27474,Florence Y'alls,Tha killer b's,Back to the Minors
87,Landon Knack,LAD,AAA,26,3.96610169491525,11,59.0,51,28,26,5,26,1,67,0.27125506,0.10526316,0.1659919,1.30508474576271,0.31081081,0.70422535,4.08288611880803,5.04757688641548,0.286666666,0.11222445,376,622,27487,,Snells Like Team Spirit,
88,Karl Kauffmann,COL,AAA,26,7.90654205607476,23,107.0,146,105,94,23,61,3,62,0.12109375,0.11914063,0.00195313,1.93457943925233,0.33884298,0.59055118,7.30940283035563,6.6557179897745,0.412868632,0.09386098,836,1135,27488,,,
89,Clayton Beeter,NYY,AAA,25,2.53125,7,32.0,17,9,9,1,21,0,44,0.32835821,0.15671642,0.17164179,1.1875,0.23529412,0.79234973,3.13025064468383,3.92875087289139,0.454545454,0.15087719,230,340,27494,,,
90,Slade Cecconi,ARI,AAA,25,3.20792030743584,5,33.2,30,13,12,3,10,0,39,0.28888889,0.07407407,0.21481481,1.18811863238364,0.3253012,0.75418994,3.61216959601324,3.99005844445281,0.404761904,0.11368015,192,327,27500,,Bulldog,
91,Walter Pennington,TEX,AAA,26,2.13157866116709,2,63.1,43,19,15,6,21,2,82,0.32156863,0.08235294,0.23921569,1.01052618010884,0.25694444,0.81597222,3.25849649842821,3.12858370764748,0.534246575,0.15407855,338,655,27624,,,
92,Eric Orze,NYM,AAA,26,3.5625,0,48.0,35,21,19,8,25,2,67,0.33168317,0.12376238,0.20792079,1.25,0.27,0.80708661,4.56775064468383,3.70144930370152,0.428571428,0.16055626,302,489,27626,,,
93,Connor Phillips,CIN,AAA,23,10.1052631578947,14,57.0,79,67,64,15,50,6,53,0.17905405,0.16891892,0.01013514,2.26315789473684,0.37209302,0.59649123,8.01402257450839,6.71864453104504,0.4,0.07561597,504,673,27649,jstocs5,Hoerner for Nico,
94,Brandon Eisert,TOR,AAA,26,4.39024390243902,2,41.0,41,20,20,6,20,2,56,0.31284916,0.11173184,0.20111732,1.48780487804878,0.36842105,0.78754579,4.28573844956188,3.50269568831455,0.397959183,0.13270777,277,469,27668,,,
95,Tanner Gordon,COL,"AAA,CPX",26,4.56617563808268,10,45.1,53,26,23,10,12,1,44,0.22564103,0.06153846,0.16410256,1.43382326799697,0.3359375,0.76923077,5.78647801310351,4.91830053590407,0.408759124,0.11938202,226,486,27669,,,
96,Carson Spiers,CIN,AAA,26,2.507142583886,8,46.2,34,19,13,2,15,4,49,0.25388601,0.07772021,0.1761658,1.04999988555909,0.2601626,0.67729084,3.18382210828819,4.20023045884079,0.454545454,0.12208505,242,487,27685,,,
97,Jack Kochanowicz,LAA,AA,23,4.5,18,102.0,103,56,51,8,27,10,86,0.19501134,0.06122449,0.13378685,1.27450980392156,0.30645161,0.65217391,3.76323742399028,3.40743821882734,0.622580645,0.10488599,512,1023,27688,,,
98,Louie Varland,MIN,AAA,26,4.9090912495763,15,73.1,77,45,40,12,28,2,84,0.25766871,0.08588957,0.17177914,1.43181828112642,0.325,0.68736142,4.56888708209203,3.69330284287749,0.536231884,0.11644951,434,794,27691,,,
99,Bailey Horn,CHW,AAA,26,4.93548387096774,1,31.0,26,19,17,5,20,0,38,0.27941176,0.14705882,0.13235294,1.48387096774193,0.28767123,0.69230769,5.08589580597416,4.58805279087635,0.421052631,0.12014134,225,341,27753,,,
100,Yosver Zulueta,CIN,AAA,26,2.85365853658536,0,41.0,36,18,13,2,25,1,49,0.27222222,0.13888889,0.13333333,1.48780487804878,0.33009709,0.74324324,3.65159210809847,3.73385937504652,0.647058823,0.09153005,311,421,27765,,,
101,Bryce Elder,ATL,AAA,25,3.89690782950612,11,64.2,55,30,28,5,25,0,70,0.25925926,0.09259259,0.16666667,1.23711359666861,0.29411765,0.68493151,3.50525064468383,3.66403734080225,0.52601156,0.12673267,384,626,27779,The Authority,Bulldog,Satchel’s Pages
102,Will Klein,KCR,AAA,24,3.5840703124905,0,37.2,25,18,15,4,27,0,38,0.22891566,0.1626506,0.06626506,1.38053078703337,0.21649485,0.73275862,5.01852477662427,5.39257309892823,0.412371134,0.12352941,275,405,27787,,,
103,John McMillon,KCR,AAA,26,6.31914957727772,0,31.1,31,22,22,7,27,1,37,0.24503311,0.17880795,0.06622517,1.8510640175864,0.30379747,0.75203252,6.72865522703257,5.34773136332752,0.464285714,0.14193548,257,363,27942,,,
104,Cristian Mena,ARI,AAA,21,4.60975658773033,19,95.2,101,54,49,15,46,4,102,0.24056604,0.10849057,0.13207547,1.53658552924344,0.33463035,0.74615385,5.35336404083919,4.68597239963388,0.468164794,0.12613705,658,991,27974,,,Moneyball
105,Yilber Diaz,ARI,"AA,AAA",23,3.96139019477226,17,86.1,64,41,38,8,41,2,115,0.32122905,0.11452514,0.20670391,1.21621628786867,0.29166667,0.68893528,3.63892107286341,3.76518663787858,0.396984924,0.14497878,538,876,29271,,Snells Like Team Spirit,
106,Gordon Graceffo,STL,AAA,24,4.07213155498882,21,101.2,104,53,46,11,38,4,88,0.19686801,0.08501119,0.11185682,1.39672145122805,0.30392157,0.71209801,4.42000483457263,5.053905050317,0.398713826,0.08868145,637,1077,29519,Florence Y'alls,,
